ID,GID,Name,IO Type, Sectors,Region,IncomeGroup,country_new
172,TUN,Tunisia,IIOT,26,MENA,LMIC,Africa
173,TUR,Turkey,SUT,61/61,OECD,UMIC,Middle E
174,TKM,Turkmenistan,IIOT,26,E_Euro_Asia,UMIC,Asia Pacific (developed)
175,USR,Former USSR,IIOT,26,E_Euro_Asia,,E EU
176,UGA,Uganda,IIOT,26,Africa,LIC,Africa
177,UKR,Ukraine,CIOT,121,E_Euro_Asia,LMIC,E EU
178,ARE,UAE,IIOT,26,MENA,HIC,Middle E
179,GBR,UK,SUT,511/511,OECD,HIC,W EU
180,TZA,Tanzania,IIOT,26,Africa,LMIC,Africa
181,USA,USA,SUT,429/429,OECD,HIC,USA
182,URY,Uruguay,SUT,84/103,LAC,HIC,S America
183,UZB,Uzbekistan,CIOT,123,E_Euro_Asia,LMIC,Asia Pacific (developing)
184,VUT,Vanuatu,IIOT,26,Oceania,LMIC,Asia Pacific (developing)
185,VEN,Venezuela,SUT,122/122,LAC,UMIC,S America
186,VNM,Viet Nam,CIOT,113,E_S_Asia,LMIC,VNM
187,YEM,Yemen,IIOT,26,MENA,LIC,Middle E
188,ZMB,Zambia,IIOT,26,Africa,LMIC,Africa
189,ZWE,Zimbabwe,IIOT,26,Africa,LMIC,Africa
