Country,ISO-3 Code,Total Loss 2000-2016  ,Erosion Area 2000-2016  ,ECE Area 2000-2016  ,Commodities Area 2000-2016  ,NPC Area 2000-2016  ,Settlement Area 2000-2016  ,Loss Area 2000-2005  ,Loss Area 2005-2010  ,Loss Area 2010-2016  ,Primary Driver,Erosion Area 2000-2005  ,Erosion Area 2005-2010  ,Erosion Area 2010-2016  ,ECE Area 2000-2005  ,ECE Area 2005-2010  ,ECE Area 2010-2016  ,Commodities Area 2000-2005  ,Commodities Area 2005-2010  ,Commodities Area 2010-2016  ,NPC Area 2000-2005  ,NPC Area 2005-2010  ,NPC Area 2010-2016  ,Settlement Area 2000-2005  ,Settlement Area 2005-2010  ,Settlement Area 2010-2016  
Philippines,PHL,38.32,3.43,1.24,27.87,5.27,0.52,20.9,12.01,5.42,Commodities,0.98,1.51,0.95,0.89,0.22,0.12,15.37,8.78,3.72,3.32,1.38,0.57,0.34,0.12,0.05
Puerto Rico,PRI,0.54,0.01,0,0,0.53,0,0.16,0.1,0.29,NPC,0,0,0.01,0,0,0,0,0,0,0.16,0.1,0.28,0,0,0
Qatar,QAT,0.02,0,0,0,0.02,0,0,0,0.02,NPC,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0
Saudi Arabia,SAU,1.51,0.45,0.62,0.11,0.33,0,0.85,0.5,0.16,Episodic Disturbances,0.21,0.2,0.04,0.5,0.11,0.02,0,0.1,0.01,0.14,0.09,0.1,0,0,0
Senegal,SEN,0.91,0.78,0.01,0.02,0.11,0,0.38,0.34,0.18,Erosion,0.33,0.28,0.18,0.01,0,0,0.01,0,0,0.04,0.06,0.01,0,0,0
Sierra Leone,SLE,5.53,0.43,0,0.11,4.37,0.62,1.13,2.53,1.87,NPC,0.04,0.07,0.32,0,0,0,0.03,0.06,0.01,0.84,2.14,1.4,0.21,0.26,0.14
Singapore,SGP,0.04,0.02,0.02,0,0,0,0.04,0,0,Erosion,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,SLB,1.51,0.6,0.81,0,0.1,0,0.72,0.48,0.31,Episodic Disturbances,0.33,0.16,0.1,0.34,0.28,0.19,0,0,0,0.05,0.04,0.02,0,0,0
Somalia,SOM,0.03,0,0,0,0.03,0,0.01,0.02,0,NPC,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0
South Africa,ZAF,0.12,0.07,0,0,0.05,0,0.05,0.05,0.02,Erosion,0.03,0.03,0.02,0,0,0,0,0,0,0.03,0.02,0,0,0,0
Sri Lanka,LKA,2.46,0.36,0,1.41,0.64,0.05,2.25,0.15,0.05,Commodities,0.34,0.02,0,0,0,0,1.37,0.05,0,0.51,0.08,0.05,0.04,0,0
Suriname,SUR,57.01,18.3,13.06,20.23,5.43,0,30.03,16.01,10.97,Commodities,6.71,6.52,5.07,8.27,3.28,1.51,13.94,4.27,2.02,1.11,1.95,2.37,0,0,0
"Tanzania, United Republic of",TZA,8.14,1.08,3.22,0.84,2.58,0.43,3.03,3.41,1.71,Episodic Disturbances,0.47,0.45,0.16,0.93,1.35,0.93,0.3,0.39,0.15,1.02,1.09,0.47,0.31,0.12,0.01
Thailand,THA,34.8,5.99,0.01,21.69,1.42,5.7,22.1,8,4.7,Commodities,4.13,1.17,0.69,0.01,0,0,13.9,4.66,3.13,1.06,0.25,0.11,3,1.93,0.78
The Bahamas,BHS,23.15,14.6,5.23,0,3.31,0.01,6.64,7.36,9.15,Erosion,3.58,5.01,6.01,1.24,1.69,2.3,0,0,0,1.82,0.65,0.84,0,0.01,0
Togo,TGO,0.01,0.01,0,0,0,0,0,0.01,0,Erosion,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,TTO,1.33,0.27,0.12,0.01,0.74,0.19,0.31,0.5,0.53,NPC,0.1,0.11,0.06,0,0.12,0.01,0,0,0.01,0.11,0.2,0.43,0.09,0.07,0.03
United Arab Emirates,ARE,0.96,0.16,0,0,0.78,0.02,0.86,0.1,0,NPC,0.16,0,0,0,0,0,0,0,0,0.69,0.09,0,0.01,0.01,0
United States,USA,9.57,3.28,2.73,0.18,2.46,0.91,4.32,5.05,0.19,Erosion,1.07,2.18,0.03,1.29,1.44,0,0.07,0.11,0,1.29,1.04,0.13,0.6,0.28,0.03
Venezuela,VEN,32.56,24.55,3.96,0.31,3.58,0.16,14.04,8.87,9.65,Erosion,10.95,6.76,6.84,1.76,1.2,1,0.13,0.11,0.08,1.2,0.78,1.6,0,0.03,0.13
Vietnam,VNM,206.33,67,0.18,127.42,5.8,5.93,129.81,50.76,25.77,Commodities,36.01,15.61,15.38,0.17,0,0.01,86.04,31.87,9.51,4.18,1.25,0.37,3.41,2.02,0.5
