ID,GID,Name,Region,IncomeGroup,country_new
131,PAN,Panama,LAC,UMIC,S America
132,PNG,Papua New Guinea,Oceania,LMIC,Asia Pacific (developing)
133,PRY,Paraguay,LAC,UMIC,S America
134,PER,Peru,LAC,UMIC,S America
135,PHL,Philippines,E_S_Asia,LMIC,Asia Pacific (developing)
136,POL,Poland,OECD,HIC,E EU
137,PRT,Portugal,OECD,HIC,W EU
138,QAT,Qatar,MENA,HIC,Middle E
139,KOR,South Korea,OECD,HIC,Asia Pacific (developed)
140,MDA,Moldova,E_Euro_Asia,UMIC,E EU
141,ROU,Romania,E_Euro_Asia,UMIC,E EU
142,RUS,Russia,E_Euro_Asia,UMIC,E EU
143,RWA,Rwanda,Africa,LIC,Africa
144,WSM,Samoa,Oceania,LMIC,Asia Pacific (developing)
145,SMR,San Marino,OECD,HIC,W EU
146,STP,Sao Tome and Principe,Africa,LMIC,Africa
147,SAU,Saudi Arabia,MENA,HIC,Middle E
148,SEN,Senegal,Africa,LMIC,Africa
149,SRB,Serbia,E_Euro_Asia,UMIC,E EU
150,SYC,Seychelles,Africa,HIC,Africa
151,SLE,Sierra Leone,Africa,LIC,Africa
152,SGP,Singapore,E_S_Asia,HIC,Asia Pacific (developed)
153,SVK,Slovakia,OECD,HIC,E EU
154,SVN,Slovenia,OECD,HIC,E EU
155,SOM,Somalia,Africa,LIC,Africa
156,ZAF,South Africa,Africa,UMIC,Africa
157,SDS,South Sudan,Africa,LIC,Africa
158,ESP,Spain,OECD,HIC,W EU
159,LKA,Sri Lanka,E_S_Asia,LMIC,Asia Pacific (developing)
160,SUD,Sudan,Africa,LIC,Africa
161,SUR,Suriname,LAC,UMIC,S America
162,SWZ,Swaziland,Africa,LMIC,Africa
163,SWE,Sweden,OECD,HIC,W EU
164,CHE,Switzerland,OECD,HIC,W EU
165,SYR,Syria,MENA,LIC,Middle E
166,TWN,Taiwan,E_S_Asia,HIC,Asia Pacific (developed)
167,TJK,Tajikistan,E_Euro_Asia,LMIC,Asia Pacific (developing)
168,THA,Thailand,E_S_Asia,UMIC,Asia Pacific (developing)
169,MKD,TFYR Macedonia,E_Euro_Asia,UMIC,E EU
170,TGO,Togo,Africa,LIC,Africa
171,TTO,Trinidad and Tobago,LAC,HIC,S America
172,TUN,Tunisia,MENA,LMIC,Africa
173,TUR,Turkey,OECD,UMIC,Middle E
174,TKM,Turkmenistan,E_Euro_Asia,UMIC,Asia Pacific (developed)
175,USR,Former USSR,E_Euro_Asia,,E EU
176,UGA,Uganda,Africa,LIC,Africa
177,UKR,Ukraine,E_Euro_Asia,LMIC,E EU
178,ARE,UAE,MENA,HIC,Middle E
179,GBR,UK,OECD,HIC,W EU
180,TZA,Tanzania,Africa,LMIC,Africa
181,USA,USA,OECD,HIC,USA
182,URY,Uruguay,LAC,HIC,S America
183,UZB,Uzbekistan,E_Euro_Asia,LMIC,Asia Pacific (developing)
184,VUT,Vanuatu,Oceania,LMIC,Asia Pacific (developing)
185,VEN,Venezuela,LAC,UMIC,S America
186,VNM,Viet Nam,E_S_Asia,LMIC,VNM
187,YEM,Yemen,MENA,LIC,Middle E
188,ZMB,Zambia,Africa,LMIC,Africa
189,ZWE,Zimbabwe,Africa,LMIC,Africa
